cat+AC0-id,ra,dec,,found?,found?
2,245.714663658,43.7262073265,,no,
17,246.240370641,43.0588365083,,,
25,244.838574624,42.250444431,,,
38,240.076987961,43.0937118027,,,
39,237.043758516,43.1567741739,,,
40,236.741205933,42.5972292793,,,
44,237.847329676,43.3057238398,,,
52,343.231775073,1.5874151245,,yes,
54,343.350327741,2.3909041634,,,
62,340.928886077,1.9264229272,,,
95,343.216093386,1.2188967639,,,
106,341.004549597,0.6719762951,,,
124,338.785803199,1.177594295,,,
131,335.768090441,1.5647439087,,,
157,339.792961223,+AC0-0.4386106787,,yes,
168,337.565457398,+AC0-0.4004431747,,yes+AC0-barely,
191,36.7383140095,+AC0-1.921946387,,,
196,37.9766839181,+AC0-2.7902294395,,,
201,35.8279010473,+AC0-2.0570763591,,,
203,36.2789931682,+AC0-1.8742528157,,,
251,29.5893976899,+AC0-2.9530005459,,,
259,38.3794688222,+AC0-4.1489813028,,,
261,36.8257501887,+AC0-4.7414656295,,,
274,30.1135266034,+AC0-4.5623007858,,,
275,29.1198483278,+AC0-4.5305875374,,,
285,39.4811788531,+AC0-6.2566265838,,,
292,39.6951121075,+AC0-6.236685222,,,
302,37.321326591,+AC0-6.4160169785,,,
305,36.9705421854,+AC0-6.4162915293,,yes+ACE-,
317,35.3153963658,+AC0-5.539168875,,,
318,35.3537405707,+AC0-5.7328084936,,,
363,29.5992413466,+AC0-5.6389855047,,,
378,137.273008722,4.9952428873,,yes+ACE-,
435,224.997421523,1.1672992563,,,
453,221.035096739,1.6531329134,,,
458,218.435915782,0.6484017117,,,
483,183.402498843,0.6910993928,,,
497,182.029808465,0.8679875792,,,
505,180.654419996,1.5074961941,,,
507,181.170245908,1.4506348743,,,
515,181.310747098,1.7693024274,,,
522,181.19274526,1.2983865497,,,
523,181.032732648,1.3215564543,,,
530,139.996681378,0.8146229842,,,
540,139.73086798,1.7515803449,,,
575,129.252396268,1.6646663736,,,
603,215.020720132,+AC0-0.435826556,,,
605,214.040081669,+AC0-0.38891907,,,
614,211.57208121,0.6294499789,,,
621,180.167532186,0.5636410649,,,
662,128.47116336,+AC0-0.3901677152,,yes+ACE-,
709,212.765210124,+AC0-1.0166987079,,,
711,211.84844043,+AC0-1.5865063618,,,
722,211.174871089,+AC0-1.3742513767,,,
724,211.059771452,+AC0-1.2261088422,,,
729,210.474706391,+AC0-1.342905176,,,
731,209.714749027,+AC0-0.891155024,,,
741,180.418708052,+AC0-1.2043336901,,,
745,181.231544711,+AC0-0.6956560012,,,
750,179.931477251,+AC0-0.7727118755,,,
765,176.140700248,+AC0-0.866780864,,,
766,175.939825637,+AC0-1.2766670083,,,
781,245.220767558,43.3028421478,,,
